first_genre,title,vote_average,revenue,budget,popularity,runtime,release_year
Science Fiction,Star Wars: Episode III - Revenge of the Sith,7.1,850,113,44.108427,140,2005
Adventure,The Hunger Games: Catching Fire,7.4,847.423452,130,76.310119,146,2013
Science Fiction,Transformers: Revenge of the Fallen,6,836.297228,150,21.939663,150,2009
Adventure,The Twilight Saga: Breaking Dawn - Part 2,6.1,829,120,99.687084,115,2012
Action,Inception,8.1,825.532764,160,167.58371,148,2010
Fantasy,Spider-Man,6.8,821.708551,139,82.502566,121,2002
Action,Independence Day,6.7,816.969268,75,60.442593,145,1996
Fantasy,Shrek the Third,6,798.958165,160,42.986467,93,2007
Science Fiction,E.T. the Extra-Terrestrial,7.3,792.910554,10.5,56.105798,115,1982
Adventure,Harry Potter and the Prisoner of Azkaban,7.7,789.804554,130,79.679601,141,2004
Family,The Lion King,8,788.241776,45,90.457886,89,1994
Adventure,Indiana Jones and the Kingdom of the Crystal Skull,5.7,786.636033,185,75.674458,122,2008
Action,Spider-Man 2,6.7,783.766341,200,35.149586,127,2004
Action,Deadpool,7.4,783.112979,58,514.569956,108,2016
Adventure,Star Wars,8.1,775.398007,11,126.393695,121,1977
Action,Guardians of the Galaxy,7.9,773.328629,170,481.098624,121,2014
Action,2012,5.6,769.653595,200,45.274225,158,2009
Thriller,The Da Vinci Code,6.5,767.820459,125,45.313197,149,2006
Fantasy,Maleficent,7,758.539785,180,110.620647,97,2014
Comedy,Shrek Forever After,6,752.600867,165,44.041186,93,2010
Action,The Amazing Spider-Man,6.5,752.215857,215,89.866276,136,2012
Science Fiction,The Hunger Games: Mockingjay - Part 1,6.6,752.100229,125,206.227151,123,2014
Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,748.806957,180,67.391328,143,2005
Action,X-Men: Days of Future Past,7.5,747.862775,250,118.078691,131,2014
Animation,Madagascar 3: Europe's Most Wanted,6.4,746.921274,145,44.989192,93,2012
Action,Suicide Squad,5.9,745,175,90.23792,123,2016
Animation,Monsters University,7,743.559607,200,89.186492,104,2013
Adventure,The Matrix Reloaded,6.7,738.599701,150,70.78591,138,2003
Animation,Up,7.7,735.099082,175,92.201962,96,2009
Science Fiction,Gravity,7.3,716.392705,105,110.153618,91,2013
Action,Captain America: The Winter Soldier,7.6,714.766572,170,72.225265,136,2014
Science Fiction,Dawn of the Planet of the Apes,7.3,710.644566,170,243.791743,130,2014
Adventure,The Twilight Saga: New Moon,5.6,709.827462,50,94.815867,130,2009
Adventure,Transformers,6.6,709.70978,150,25.468493,144,2007
Action,The Amazing Spider-Man 2,6.5,705.717432,200,89.270217,142,2014
Adventure,The Twilight Saga: Eclipse,5.8,698.491347,68,107.069763,124,2010
Action,Mission: Impossible - Ghost Protocol,6.8,694.71338,145,77.77477,133,2011
Science Fiction,The Hunger Games,6.9,691.210692,75,68.550698,142,2012
Action,Mission: Impossible - Rogue Nation,7.1,682.330139,150,114.522237,131,2015
Comedy,Forrest Gump,8.2,677.945399,55,138.133331,142,1994
Adventure,Interstellar,8.1,675.120017,165,724.247784,169,2014
Mystery,The Sixth Sense,7.7,672.806292,40,73.085576,107,1999
Animation,Kung Fu Panda 2,6.7,665.692281,150,51.247321,91,2011
Action,Man of Steel,6.5,662.845518,225,99.398009,143,2013
Animation,Ice Age: The Meltdown,6.5,660.94078,80,85.115058,91,2006
Adventure,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,655.011224,140,271.972889,143,2003
Action,The Hunger Games: Mockingjay - Part 2,6.6,653.428261,160,127.284427,137,2015
Adventure,Big Hero 6,7.8,652.105443,165,203.73459,102,2014
Adventure,Star Wars: Episode II - Attack of the Clones,6.4,649.398328,120,43.987061,142,2002
Action,Thor: The Dark World,6.8,644.571402,170,99.499595,112,2013
Adventure,Kung Fu Panda,6.9,631.74456,130,84.689648,90,2008
Action,The Incredibles,7.4,631.442092,92,77.817571,115,2004
Drama,The Martian,7.6,630.16189,108,167.93287,141,2015
Action,Fast Five,7.1,626.137675,125,7.255718,130,2011
Fantasy,Hancock,6.2,624.029371,150,56.758411,92,2008
Action,Men in Black 3,6.2,624.026776,225,52.035179,106,2012
Adventure,Iron Man 2,6.6,623.933331,200,77.300194,124,2010
Animation,Ratatouille,7.5,623.722818,150,65.677399,111,2007
Drama,The Passion of the Christ,6.9,611.89942,30,38.171417,127,2004
Comedy,Mamma Mia!,6.4,609.841637,52,30.780599,108,2008
Fantasy,How to Train Your Dragon 2,7.6,609.123048,145,100.21391,102,2014
Adventure,Life of Pi,7.2,609.016565,120,51.328145,127,2012
Family,Madagascar: Escape 2 Africa,6.2,603.900354,150,44.141021,89,2008
Adventure,Casino Royale,7.3,599.04596,150,88.935165,144,2006
Animation,Tangled,7.4,591.794936,260,48.681969,100,2010
Adventure,War of the Worlds,6.2,591.739379,132,48.572726,116,2005
Action,Men in Black,6.9,589.390539,90,104.121555,98,1997
Adventure,Quantum of Solace,6.1,586.090727,200,107.928811,106,2008
Drama,I Am Legend,6.9,585.34901,150,70.867401,101,2007
Adventure,The Croods,6.8,585.178928,135,64.183321,98,2013
Action,Iron Man,7.4,585.174222,140,120.725053,126,2008
Action,Night at the Museum,6.3,574.480841,110,48.780039,108,2006
Adventure,Return of the Jedi,7.9,572.7,32.35,46.509071,135,1983
Drama,Fifty Shades of Grey,5.2,571.006128,40,98.755657,125,2015
Animation,The Smurfs,5.5,563.749323,110,36.65422,103,2011
Animation,"Monsters, Inc.",7.5,562.816256,115,106.815545,92,2001
Animation,Cars 2,5.8,559.852396,200,49.98659,106,2011
Action,Puss in Boots,6.4,554.987477,130,20.678787,90,2011
Action,Armageddon,6.4,553.799566,140,58.485967,151,1998
Adventure,King Kong,6.6,550,207,61.22601,187,2005
Comedy,Ted,6.3,549.368315,50,68.87691,106,2012
Adventure,Mission: Impossible II,5.9,546.388105,125,54.931334,123,2000
Action,The Day After Tomorrow,6.2,544.272402,125,41.380094,124,2004
Science Fiction,X-Men: Apocalypse,6.4,543.934787,178,139.272042,144,2016
Romance,Cinderella,6.7,543.514353,95,101.187052,105,2015
Animation,Despicable Me,7.1,543.513985,69,113.858273,95,2010
War,American Sniper,7.4,542.307423,58.8,87.53437,133,2014
Animation,Brave,6.7,538.983207,185,125.114374,93,2012
Adventure,The Empire Strikes Back,8.2,538.4,18,78.51783,124,1980
Western,The Revenant,7.3,532.950503,135,100.635882,156,2015
Family,Madagascar,6.6,532.680671,75,48.110909,86,2005
Action,World War Z,6.7,531.865,200,81.834855,116,2013
Animation,The Simpsons Movie,6.9,527.068851,75,46.875375,87,2007
Action,Sherlock Holmes,7,524.028679,90,57.834787,128,2009
Animation,WALL·E,7.8,521.31186,180,66.390712,98,2008
Action,Kung Fu Panda 3,6.7,521.170825,145,56.747978,95,2016
Action,Terminator 2: Judgment Day,7.7,520,100,101.74155,137,1991
Science Fiction,Ant-Man,7,519.311965,130,120.09361,117,2015
Comedy,Meet the Fockers,6.1,516.642939,80,32.829538,115,2004
Fantasy,Ghost,6.9,505,22,41.967005,127,1990
Animation,Aladdin,7.4,504.050219,28,92.982009,90,1992
Animation,Rio 2,6.3,500.188435,103,42.40024,102,2014
Adventure,Troy,6.9,497.409852,175,66.803149,163,2004
Animation,Toy Story 2,7.3,497.366869,90,73.575118,92,1999
Fantasy,How to Train Your Dragon,7.5,494.878759,165,67.263269,98,2010
Action,Twister,6.1,494.471524,92,32.079995,113,1996
Fantasy,Oz: The Great and Powerful,5.7,491.868548,200,46.985445,130,2013
Animation,Rio,6.5,484.63576,90,46.200042,96,2011
Fantasy,Bruce Almighty,6.4,484.572835,80,109.684788,101,2003
Adventure,Shrek,7.3,484.409218,60,67.298732,90,2001
Thriller,Rise of the Planet of the Apes,7,482.860185,93,138.433168,105,2011
Drama,Saving Private Ryan,7.9,481.840909,70,76.041867,169,1998
Action,Mr. & Mrs. Smith,6.5,478.20752,110,44.635452,120,2005
Science Fiction,Teenage Mutant Ninja Turtles,5.8,477.2,125,143.350376,101,2014
Comedy,Home Alone,7.1,476.684675,18,2.186927,103,1990
Adventure,Charlie and the Chocolate Factory,6.7,474.968763,150,53.905592,115,2005
Adventure,Indiana Jones and the Last Crusade,7.6,474.171806,48,80.972475,127,1989
Animation,Hotel Transylvania 2,6.7,473.226958,80,61.692197,89,2015
Family,Wreck-It Ralph,7.1,471.222889,165,62.341073,108,2012
Horror,Jaws,7.5,470.654,7,50.152327,124,1975
Action,San Andreas,6,470.490832,110,100.412364,114,2015
Adventure,The Lego Movie,7.5,469.160692,60,59.547928,100,2014
Action,Star Trek Into Darkness,7.4,467.365246,190,78.291018,132,2013
Action,The Matrix,7.9,463.517383,63,104.309993,136,1999
Romance,Pretty Woman,7,463,14,45.473484,119,1990
Animation,Cars,6.6,461.983149,120,82.643036,117,2006
Adventure,X-Men: The Last Stand,6.3,459.359555,210,3.857526,104,2006
Comedy,The Hangover,7.2,459.270619,35,82.21166,100,2009
Adventure,Mission: Impossible,6.7,457.696359,80,75.290998,110,1996
Action,Gladiator,7.9,457.640427,103,95.301296,155,2000
Drama,The Last Samurai,7.3,456.758981,140,52.341226,154,2003
Thriller,Ocean's Eleven,7.2,450.71715,85,60.929352,116,2001
Adventure,Thor,6.6,449.326618,150,86.493424,115,2011
History,Pearl Harbor,6.6,449.220945,140,34.20669,183,2001
Comedy,Alvin and the Chipmunks: The Squeakquel,5.4,443.140005,75,29.412262,88,2009
Action,The Bourne Ultimatum,7.3,442.824138,70,45.381501,115,2007
Action,Men in Black II,6,441.818803,140,91.332849,88,2002
Drama,Les Misérables,7.1,441.80977,61,48.356214,157,2012
Drama,The Exorcist,7.5,441.306145,8,47.584643,122,1973
Comedy,Mrs. Doubtfire,7,441.286195,25,30.884535,125,1993
Science Fiction,Terminator Genisys,5.8,440.603537,155,202.042635,126,2015
Action,Terminator 3: Rise of the Machines,5.9,435,200,69.405188,109,2003
Action,Warcraft,6.3,433.677183,160,63.148529,123,2016
Adventure,The Mummy Returns,6,433.013274,98,41.862983,130,2001
Adventure,Die Another Day,5.8,431.971116,140,54.159392,133,2002
Adventure,Cast Away,7.5,429.632142,90,57.739713,143,2000
Drama,Django Unchained,7.8,425.368238,100,82.121691,165,2012
Adventure,The Matrix Revolutions,6.4,424.988211,150,73.313918,129,2003
Adventure,Dances with Wolves,7.6,424.208848,22,45.707835,181,1990
Action,300,7,422.610419,65,65.197968,117,2006
Adventure,The Chronicles of Narnia: Prince Caspian,6.3,419.651413,225,53.978602,150,2008
Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,415.686217,155,49.661984,113,2010
Action,Jason Bourne,5.9,415.484914,120,62.641286,123,2016
Action,The Wolverine,6.3,415.440673,120,15.953444,126,2013
Drama,The King's Speech,7.6,414.211549,15,54.053576,118,2010
Adventure,Night at the Museum: Battle of the Smithsonian,5.9,413.10617,150,81.781591,105,2009
Drama,Rain Man,7.6,412.8,25,49.510658,133,1988
Fantasy,Batman,7,411.348924,35,44.104469,126,1989
Thriller,The Bodyguard,6.1,411.00674,25,26.576385,129,1992
Drama,Signs,6.4,408.247917,72,28.848187,106,2002
Adventure,X2,6.8,407.711549,110,2.871739,133,2003
Action,Pacific Rim,6.7,407.602906,180,56.523205,131,2013
Science Fiction,Prometheus,6.3,403.170142,130,68.889395,124,2012
Adventure,The Mummy: Tomb of the Dragon Emperor,5.2,401.128639,145,60.034162,112,2008
Drama,Gone with the Wind,7.7,400.176459,4,48.98255,238,1939
Adventure,TRON: Legacy,6.3,400.062763,170,73.79505,125,2010
Adventure,Mission: Impossible III,6.5,397.850012,150,63.079003,126,2006
Adventure,Snow White and the Huntsman,5.8,396.6,170,77.178973,127,2012
Adventure,Twilight,5.8,392.616625,37,127.084938,122,2008
Crime,The Wolf of Wall Street,7.9,392.000694,100,95.007934,180,2013
Adventure,Superman Returns,5.4,391.081192,270,57.925623,154,2006
Adventure,Robin Hood: Prince of Thieves,6.6,390.493908,48,28.803729,143,1991
Adventure,Raiders of the Lost Ark,7.7,389.925971,18,68.159596,115,1981
Action,Independence Day: Resurgence,4.9,389.681935,165,48.775723,120,2016
Science Fiction,Star Trek,7.4,385.680446,150,73.616808,127,2009
Animation,Happy Feet,5.9,384.335608,100,37.272385,108,2006
Action,Live Free or Die Hard,6.4,383.531464,110,48.93337,128,2007
Animation,Ice Age,7.1,383.257136,59,99.561972,81,2002
Animation,Monsters vs Aliens,6,381.50987,175,36.167578,94,2009
Adventure,Back to the Future,8,381.109762,19,76.603233,116,1985
Action,True Lies,6.8,378.882411,115,38.729418,141,1994
Action,Mad Max: Fury Road,7.2,378.85834,150,434.278564,120,2015
Drama,Slumdog Millionaire,7.6,377.910544,15,59.258969,120,2008
Action,Taken 2,6.1,376.141306,45,49.353524,91,2012
Action,Batman Begins,7.5,374.218673,150,115.040024,140,2005
Comedy,What Women Want,6.1,374.111707,70,31.39165,127,2000
Animation,Toy Story,7.7,373.554033,30,73.640445,81,1995
Family,Penguins of Madagascar,6.5,373.552094,132,84.366984,92,2014
Adventure,X-Men Origins: Wolverine,6.2,373.062864,150,5.954334,107,2009
Adventure,The Golden Compass,5.8,372.234864,180,42.990906,113,2007
Adventure,The Adventures of Tintin,6.7,371.940071,130,89.938296,107,2011
Adventure,G.I. Joe: Retaliation,5.4,371.876278,130,59.325589,110,2013
Action,Terminator Salvation,5.9,371.353001,200,71.862892,115,2009
Action,Captain America: The First Avenger,6.6,370.569774,140,74.506246,124,2011
Action,Edge of Tomorrow,7.6,370.541256,178,79.456485,113,2014
Romance,There's Something About Mary,6.5,369.884651,23,57.110486,119,1998
Mystery,Gone Girl,7.9,369.330363,61,143.041543,145,2014
Adventure,The Fugitive,7.2,368.87576,44,54.884297,130,1993
Fantasy,Home,6.8,368.871007,135,63.473086,94,2015
Adventure,Jurassic Park III,5.7,368.780809,93,1.859364,92,2001
Comedy,My Big Fat Greek Wedding,6.2,368.744044,5,18.115566,95,2002
Comedy,Hitch,6.4,368.10042,70,34.576913,118,2005
Animation,Shark Tale,5.8,367.275019,75,47.094369,90,2004
Action,Die Hard: With a Vengeance,6.9,366.101666,90,51.881077,128,1995
Romance,Notting Hill,7,363.889678,42,28.969151,124,1999
Adventure,A Bug's Life,6.8,363.258859,120,87.350802,95,1998
Thriller,Ocean's Twelve,6.4,362.74428,110,76.840712,125,2004
Drama,Noah,5.6,362.637473,125,46.115758,139,2014
Thriller,Planet of the Apes,5.6,362.21174,100,51.188633,119,2001
Adventure,The World Is Not Enough,6,361.8324,135,39.604363,128,1999
Comedy,Alvin and the Chipmunks,5.5,361.366633,60,47.336034,92,2007
Comedy,Home Alone 2: Lost in New York,6.3,358.991681,18,81.487685,120,1992
Animation,Hotel Transylvania,6.8,358.375603,85,56.257411,91,2012
Action,Minority Report,7.1,358.372926,102,65.948959,145,2002
Action,Top Gun,6.7,356.830601,15,58.900647,110,1986
Action,The Legend of Tarzan,5.5,356.743061,180,42.741719,109,2016
Thriller,Angels & Demons,6.5,356.613439,150,67.447636,138,2009
Drama,American Beauty,7.9,356.296601,15,80.878605,122,1999
Adventure,Journey 2: The Mysterious Island,5.8,355.69276,79,40.723459,94,2012
Drama,Apollo 13,7.3,355.237933,52,68.140214,140,1995
Animation,Dinosaur,6.2,354.248063,127.5,26.548594,82,2000
Action,X-Men: First Class,7.1,353.624124,160,3.195174,132,2011
Adventure,GoldenEye,6.6,352.194034,58,59.824565,130,1995
Drama,Catch Me If You Can,7.7,352.114312,52,73.944049,141,2002
Romance,The Mask,6.6,351.583407,23,85.30318,101,1994
Drama,The Great Gatsby,7.3,351.040419,105,61.196071,143,2013
Action,Speed,6.8,350.448145,30,49.526736,116,1994
Family,The Angry Birds Movie,5.9,349.779543,73,45.720894,97,2016
Adventure,Night at the Museum: Secret of the Tomb,6.1,349.424282,127,115.597753,97,2014
Action,The Maze Runner,7,348.319861,34,131.815575,113,2014
Adventure,National Treasure,6.4,347.451894,100,58.849256,131,2004
Fantasy,The Smurfs 2,5.5,347.434178,105,32.473628,105,2013
Action,Rush Hour 2,6.4,347.325802,90,35.814765,90,2001
Action,"I, Robot",6.7,347.234916,120,95.914473,115,2004
Adventure,Pocahontas,6.7,346.079773,55,47.845589,81,1995
Family,How the Grinch Stole Christmas,6.2,345.141403,123,45.419668,104,2000
Action,Star Trek Beyond,6.6,343.471816,185,65.352913,122,2016
Comedy,Over the Hedge,6.3,343.397247,80,36.32705,83,2006
Comedy,Alvin and the Chipmunks: Chipwrecked,5.4,342.695435,75,23.473004,87,2011
Fantasy,The Flintstones,5,341.631208,46,28.964162,91,1994
Comedy,Enchanted,6.6,340.487652,85,29.21998,107,2007
Action,300: Rise of an Empire,6.1,337.580051,110,71.510596,102,2014
Action,Batman Forever,5.2,336.529144,100,48.205606,121,1995
Adventure,Prince of Persia: The Sands of Time,6.2,335.154643,150,62.169881,116,2010
Action,The Rock,6.9,335.062621,75,51.469576,136,1996
Action,Now You See Me 2,6.7,334.901337,90,51.535701,129,2016
Adventure,Sherlock Holmes: A Game of Shadows,7,334.615,125,81.499621,129,2011
Fantasy,The Curious Case of Benjamin Button,7.3,333.932083,150,60.269279,166,2008
Adventure,Tomorrow Never Dies,6,333.011068,110,42.887121,119,1997
Adventure,Indiana Jones and the Temple of Doom,7.1,333,28,66.976776,118,1984
Adventure,Back to the Future Part II,7.4,332,40,43.345252,108,1989
Adventure,The Good Dinosaur,6.6,331.926147,175,51.692953,93,2015
Comedy,Meet the Parents,6.6,330.444045,55,29.97224,108,2000
Adventure,Crocodile Dundee,6.3,328.203506,5,16.072466,97,1986
Drama,Black Swan,7.3,327.803731,13,91.285683,108,2010
Crime,Se7en,8.1,327.311859,33,79.579532,127,1995
Comedy,The Devil Wears Prada,7,326.551094,35,83.893257,109,2006
Thriller,Taken 3,6.1,325.771424,48,88.844777,109,2014
Drama,The Perfect Storm,6.2,325.756637,120,25.752118,130,2000
Animation,A Christmas Carol,6.6,325.233863,200,39.744242,96,2009
Animation,Megamind,6.7,321.887208,130,68.757242,95,2010
Adventure,Lethal Weapon 3,6.4,321.731527,35,36.172182,118,1992
Drama,Schindler's List,8.3,321.365567,22,104.469351,195,1993
Horror,The Conjuring 2,7,320.170008,40,68.794673,134,2016
Drama,Fatal Attraction,6.6,320.145693,14,16.742972,119,1987
Drama,Inglourious Basterds,7.9,319.13105,70,72.595961,153,2009
Action,The Last Airbender,4.7,318.502923,150,33.769336,103,2010
Horror,The Conjuring,7.4,318.000141,13,49.975409,112,2013
Comedy,The Proposal,6.7,317.375031,40,36.238968,108,2009
Action,Beverly Hills Cop,6.8,316.360478,15,29.843818,105,1984
Action,Air Force One,6.2,315.156409,85,36.38795,124,1997
Animation,Chicken Little,5.6,314.432665,150,47.973995,81,2005
Comedy,As Good as It Gets,7.2,314.178011,50,37.885022,139,1997
Drama,A Beautiful Mind,7.7,313.542341,60,59.248437,135,2001
Action,The Expendables 2,6.1,312.573423,100,53.732892,103,2012
Animation,The SpongeBob Movie: Sponge Out of Water,5.8,311.594032,74,36.952268,93,2015
Crime,Ocean's Thirteen,6.5,311.312624,85,42.069993,122,2007
Action,Maze Runner: The Scorch Trials,6.4,311.256926,61,113.161483,132,2015
Adventure,Austin Powers: The Spy Who Shagged Me,6.2,310.940086,33,18.316151,95,1999
Action,Robin Hood,6.2,310.66954,200,37.668301,140,2010
Comedy,Little Fockers,5.4,310.650585,100,32.389353,98,2010
Animation,Bolt,6.3,309.979994,150,41.845878,98,2008
Action,Ransom,6.4,309.492681,80,16.411345,117,1996
Comedy,Runaway Bride,5.7,309.457509,70,20.230535,116,1999
Drama,The Blind Side,7.2,309.208309,29,25.767395,129,2009
Romance,The Fault in Our Stars,7.6,307.166834,12,74.358971,125,2014
Drama,The Pursuit of Happyness,7.7,307.077295,55,80.581367,117,2006
Fantasy,Rise of the Guardians,7.1,306.94167,145,61.788035,97,2012
Action,Chicago,6.9,306.776732,45,32.217425,113,2002
Adventure,The Polar Express,6.4,305.87573,165,47.323228,100,2004
Action,A Good Day to Die Hard,5.2,304.654182,92,65.402595,98,2013
Animation,Mulan,7.6,304.320254,90,67.427755,88,1998
Science Fiction,Close Encounters of the Third Kind,7.2,303.788635,20,52.456505,135,1977
Thriller,Battleship,5.5,303.025485,209,64.928382,131,2012
Adventure,G.I. Joe: The Rise of Cobra,5.6,302.469017,175,32.852443,118,2009
Adventure,Wrath of the Titans,5.5,301,150,44.927635,99,2012
Adventure,Hook,6.6,300.854823,70,33.648404,144,1991
Action,Rambo: First Blood Part II,6.3,300.400432,44,38.653969,96,1985
Action,Resident Evil: Afterlife,5.8,300.228084,60,2.143764,97,2010
Action,Superman,6.9,300.218018,55,48.507081,143,1978
Animation,Stuart Little,5.8,300.135367,133,30.475297,84,1999
Action,Beverly Hills Cop II,6.1,299.965036,20,25.28436,100,1987
Fantasy,Alice Through the Looking Glass,6.5,299.370084,170,56.268916,113,2016
Comedy,My Best Friend's Wedding,6.3,299.288605,38,15.401855,105,1997
Action,Real Steel,6.6,299.268508,110,37.195046,127,2011
Comedy,Austin Powers in Goldmember,5.9,296.655431,63,40.137264,94,2002
Adventure,X-Men,6.8,296.339527,75,4.66891,104,2000
Adventure,Insurgent,6.2,295.238201,110,103.718387,119,2015
Drama,Shutter Island,7.8,294.804195,80,81.914696,138,2010
Comedy,Doctor Dolittle,5.4,294.456605,71,21.462935,85,1998
Action,Salt,6.2,293.329073,110,48.829437,100,2010
Fantasy,G-Force,5.1,292.817841,150,26.710398,88,2009
Drama,The Departed,7.9,289.847354,90,63.429157,151,2006
Romance,Shakespeare in Love,6.8,289.317794,25,31.792964,122,1998
Adventure,Fantastic 4: Rise of the Silver Surfer,5.4,289.047763,130,60.810723,92,2007
Adventure,Divergent,6.9,288.747895,85,80.316463,139,2014
Action,The Bourne Supremacy,7.2,288.500217,75,53.213931,108,2004
Comedy,Bridesmaids,6.5,288.383523,32.5,17.107065,125,2011
Comedy,Sex and the City 2,5.4,288.347692,100,18.325897,146,2010
Fantasy,Casper,6,287.928194,50,19.830132,100,1995
Family,Bee Movie,5.7,287.594577,150,29.332905,91,2007
Comedy,American Pie 2,6,287.553595,30,36.432598,108,2001
Comedy,Pitch Perfect 2,6.8,287.506194,29,71.496894,115,2015
Drama,The Sound of Music,7.4,286.214286,8.2,37.960289,174,1965
Action,Oblivion,6.4,286.168572,120,67.698004,124,2013
Science Fiction,Elysium,6.4,286.1407,115,67.33767,109,2013
Action,Lethal Weapon 4,6.3,285.444603,140,24.855701,127,1998
Fantasy,The Green Mile,8.2,284.6,60,103.698022,189,1999
Action,John Carter,6.1,284.1391,260,43.926995,132,2012
Animation,Turbo,6.1,282.570682,135,44.765377,96,2013
Comedy,Bridget Jones's Diary,6.5,281.929795,25,35.310712,97,2001
Action,Batman Returns,6.6,280,80,59.113174,126,1992
Action,The Tourist,6,278.731369,100,41.426678,103,2010
Action,xXx,5.8,277.448382,70,46.217769,124,2002
Action,The Bourne Legacy,6,276.572938,130,90.33681,120,2012
Mystery,Scooby-Doo,5.4,275.650703,84,31.435539,88,2002
History,Lincoln,6.7,275.29345,65,36.307296,149,2012
Fantasy,Spirited Away,8.3,274.925095,15,118.968562,125,2001
Adventure,Lara Croft: Tomb Raider,5.7,274.70334,115,41.498631,100,2001
Thriller,The Expendables,6,274.470394,80,77.580661,103,2010
Comedy,Jerry Maguire,6.7,273.552592,50,27.039636,139,1996
Adventure,Bad Boys II,6.3,273.339556,130,38.068736,147,2003
Animation,Mr. Peabody & Sherman,6.7,272.91243,145,38.73494,92,2014
Crime,The Silence of the Lambs,8.1,272.742922,19,18.174804,119,1991
Comedy,Grown Ups,6,271.430189,80,38.864027,102,2010
Drama,The Firm,6.6,270.248367,42,23.736535,154,1993
Comedy,We're the Millers,6.8,269.994119,37,100.348805,110,2013
Drama,Gran Torino,7.8,269.958228,33,50.7453,116,2008
Animation,Epic,6.4,268.426634,100,36.711378,102,2013
Comedy,Neighbors,6.2,268.1574,18,36.471231,96,2014
Adventure,Exodus: Gods and Kings,5.6,268.031828,140,101.599427,150,2014
Animation,Bambi,6.8,267.44715,0.858,47.651878,70,1942
Romance,The Princess and the Frog,6.7,267.045765,105,62.479574,97,2009
Drama,Something's Gotta Give,6.3,266.728738,80,16.939441,128,2003
Thriller,The Prince,4.6,266.5868,18,21.638673,93,2014
Drama,American Gangster,7.4,266.465037,100,42.361215,157,2007
