ID,age,Male,income,married,children,car,save_act,current_act,mortgage,payback
12156,52,0,47835.8,0,3,0,1,0,0,1
12157,58,0,24977.5,0,0,0,0,1,0,1
12158,28,1,23124.9,1,0,0,1,1,0,1
12159,29,0,15143.8,1,0,0,0,1,0,0
12160,34,1,25334.3,0,1,1,1,1,1,1
12161,42,0,24763.3,1,1,0,1,1,1,1
12162,65,0,36589,0,1,1,0,1,0,1
12163,47,1,27022.6,1,2,0,1,1,0,0
12164,20,1,11700.4,1,0,0,1,0,0,0
12165,21,1,5014.21,0,0,1,1,1,1,0
12166,42,1,17390.1,1,0,0,1,1,0,0
12167,19,1,10861,0,2,0,1,1,0,0
12168,41,0,34892.9,0,0,0,1,1,1,0
12169,30,1,19403.1,0,2,0,1,1,0,0
12170,31,0,10441.9,1,2,0,0,1,0,1
12171,25,1,14064.9,1,3,1,1,1,0,0
12172,21,1,8062.73,0,0,0,0,1,0,1
12173,36,1,31982,1,3,1,1,1,1,1
12174,58,0,23197.5,1,2,0,1,0,1,0
12175,64,0,52674,0,2,1,1,1,0,1
12176,59,0,35610.5,0,2,1,0,0,0,1
12177,45,0,26948,0,0,0,1,1,1,0
12178,61,1,49456.7,1,1,1,1,1,1,1
12179,30,0,14724.5,1,0,1,0,1,0,0
12180,58,0,34524.9,1,2,1,1,0,0,1
12181,50,0,22052.1,0,3,0,1,1,0,1
12182,30,1,27808.1,0,3,0,0,1,0,0
12183,29,0,12591.4,1,1,0,1,1,0,0
12184,35,1,16394.4,1,1,0,1,1,0,1
12185,62,1,24026.1,1,0,0,0,1,1,1
12186,36,1,31683.1,1,1,1,1,1,0,1
12187,25,0,15525,1,0,0,1,1,0,0
12188,66,0,22562.2,0,0,1,1,1,1,0
12189,30,1,15848.7,1,0,1,1,0,1,0
12190,54,0,31095.6,1,2,0,0,1,0,1
12191,37,1,24814.5,1,1,1,0,1,1,1
12192,28,0,25429.3,0,2,0,1,1,1,0
12193,53,0,34866.5,0,0,0,0,1,0,1
12194,61,1,42579.1,1,2,1,1,1,0,0
12195,61,0,41127.4,1,0,1,1,0,0,0
12196,18,0,9990.11,1,0,0,1,1,0,0
12197,22,1,7948.62,1,1,0,0,0,1,0
12198,34,1,30870.8,1,2,1,1,1,1,1
12199,35,0,12125.8,0,2,0,1,1,0,0
12200,18,0,15348.9,1,0,1,0,1,0,0
12201,54,1,26707.9,1,1,0,1,1,1,1
12202,27,0,11604.4,1,2,1,1,1,0,0
12203,42,1,15499.9,1,0,1,0,1,1,1
12204,43,1,33088.5,0,0,0,1,1,1,0
12205,64,0,34513.6,1,1,0,1,1,0,1
12206,43,1,32395.5,1,3,1,1,1,0,0
12207,49,1,46633,1,0,1,1,0,0,0
12208,23,1,13039.9,1,0,0,0,1,0,0
12209,23,1,12681.9,0,0,0,1,1,0,1
12210,30,0,24031.5,1,2,1,1,1,1,0
12211,36,1,37330.5,0,2,0,1,1,0,1
12212,34,1,25333.2,1,3,1,0,0,1,0
12213,51,0,37094.2,1,0,1,0,1,0,0
12214,36,1,33630.6,0,2,1,1,1,0,1
12215,56,1,43228.2,1,1,1,1,1,0,1
12216,54,0,47796.8,1,0,0,1,1,0,0
12217,56,0,21730.3,1,2,0,1,0,0,0
12218,26,1,10044.1,1,3,0,1,1,1,0
12219,39,1,17270.1,0,0,1,0,0,0,1
12220,64,0,45765,1,3,1,1,1,0,1
12221,46,1,29525.5,0,2,0,1,0,1,0
12222,62,0,54863.8,1,1,1,1,1,0,1
12223,36,0,20799,1,1,0,1,0,1,1
12224,35,0,33028.3,0,1,0,1,1,0,1
12225,47,1,45031.9,0,3,1,1,0,0,1
12226,47,1,39010.8,1,2,0,0,1,0,1
12227,37,0,25257.7,1,0,1,1,1,0,0
12228,48,0,42603.9,1,0,0,1,1,0,0
12229,41,1,14092.7,1,3,1,1,1,0,0
12230,27,0,21350.3,0,0,1,1,1,0,1
12231,43,1,23246.4,0,2,0,0,1,0,0
12232,61,1,41609.5,1,3,0,1,1,1,0
12233,52,0,16716.1,0,2,1,1,1,0,0
12234,64,0,36436.4,1,0,1,0,1,0,0
12235,66,0,59503.8,1,2,1,1,1,1,1
12236,53,0,31334.8,1,1,1,1,1,0,1
12237,20,0,14048.9,1,2,1,0,1,1,0
12238,57,0,39205.3,0,0,0,1,1,0,1
12239,65,0,42173.9,1,0,0,1,1,0,0
12240,64,0,55263,0,1,0,1,1,0,1
12241,52,1,37095.2,1,3,0,1,1,0,0
12242,47,0,22791.4,1,0,0,0,1,0,0
12243,28,0,17240.6,1,1,1,0,0,1,0
12244,64,1,48974.8,1,0,1,1,1,1,0
12245,25,1,18923,1,1,0,1,1,0,1
12246,58,1,51204.2,1,0,0,1,0,1,1
12247,34,1,20236.2,1,2,1,0,1,0,0
12248,20,0,18860.3,0,2,0,1,1,0,0
12249,63,1,25732.5,1,0,1,1,0,0,0
12250,30,0,28240.4,1,3,1,1,1,0,0
12251,53,1,28193.6,1,1,1,1,1,0,1
12252,43,1,36432.8,0,2,1,0,1,0,1
12253,63,1,54618.8,1,2,0,1,0,1,1
12254,33,1,24760.8,1,1,0,1,1,1,1
12255,41,1,23356.1,0,2,1,0,0,0,0
12256,20,0,8143.75,1,2,0,1,1,0,1
12257,50,1,26462.5,1,0,1,1,1,0,0
12258,24,1,20467.3,1,2,1,1,1,0,0
12259,60,0,21506.2,1,0,0,0,1,0,1
12260,44,0,15315.3,1,1,0,1,1,0,1
12261,23,1,18875.7,1,2,1,1,1,0,0
12262,40,0,12977.2,1,0,0,0,0,0,0
12263,49,0,20708.5,0,3,0,0,1,0,0
12264,21,0,7549.38,0,1,1,0,1,0,0
12265,40,0,24904,1,0,0,0,0,0,0
12266,26,1,24071.8,1,1,0,0,1,1,1
12267,20,1,9589.91,0,1,0,1,1,1,0
12268,24,1,8562.86,0,1,0,0,0,1,0
12269,37,0,26707.5,0,0,1,1,1,0,0
12270,56,1,34020.5,1,0,0,0,1,0,0
12271,52,1,49175.7,1,0,1,1,1,0,0
12272,22,1,19726.3,1,2,0,0,1,0,0
12273,35,1,24346.6,1,3,1,1,1,0,0
12274,34,1,26999.4,1,1,1,1,1,0,1
12275,67,0,41558.1,1,2,0,1,1,0,1
12276,58,0,56340.3,0,0,0,1,1,0,1
12277,40,1,37558.5,1,0,1,1,1,0,0
12278,41,0,30099.3,1,0,1,1,1,1,1
12279,43,1,15254.8,1,0,0,0,0,0,1
12280,63,1,36086.1,1,2,0,0,1,0,1
12281,22,0,17655,1,1,0,1,1,1,1
12282,60,1,56658.9,0,0,0,1,1,0,1
12283,65,0,37706.5,0,0,1,1,1,1,0
12284,48,0,18516,1,2,1,1,1,1,0
12285,38,0,29622,0,0,1,1,0,1,0
12286,49,1,32669.9,1,1,1,1,1,1,1
12287,20,0,18275.5,1,0,0,0,0,1,1
12288,48,0,34410,1,1,0,0,1,0,1
12289,38,1,34866.9,1,2,1,0,1,1,0
12290,41,0,21796.6,1,0,0,0,1,0,0
12291,67,0,63130.1,1,2,1,1,1,0,1
12292,39,1,14996.4,1,1,1,1,0,0,0
12293,64,0,49024.9,1,3,0,1,1,0,1
12294,41,1,16249.8,1,0,1,0,1,1,1
12295,55,1,36192.1,1,2,1,0,1,0,1
12296,52,1,17839.9,1,1,0,1,0,1,1
12297,30,0,18802.4,0,0,0,0,1,1,1
12298,52,1,48720.3,1,2,1,1,1,0,1
12299,26,1,14585.9,0,2,0,0,1,1,0
12300,26,0,20819,1,0,0,1,1,0,1
12301,46,1,26077.8,1,1,1,1,1,0,1
12302,46,0,41627.1,1,0,0,1,1,1,0
12303,52,1,16977.3,1,0,0,0,1,0,0
12304,37,1,19012.8,0,3,1,0,1,0,0
12305,22,1,12764.8,1,1,0,1,1,1,1
12306,18,1,14388.6,0,0,1,0,1,1,1
12307,63,1,59409.1,0,0,1,1,1,0,1
12308,25,0,14960.2,1,0,0,1,1,1,0
12309,67,1,39666.6,1,0,1,1,1,0,0
12310,27,1,20771.9,0,0,0,1,0,0,1
12311,61,1,24474.1,0,0,1,0,0,0,1
12312,58,1,33123.7,1,1,1,1,1,0,1
12313,22,1,14433.4,1,0,1,1,1,0,1
12314,28,1,13175.5,0,1,0,0,1,0,1
12315,23,1,9824.37,1,0,0,1,1,0,0
12316,27,1,17610.3,1,0,0,1,1,0,0
12317,27,0,15156.2,1,0,1,0,1,0,0
12318,40,0,31774.1,1,3,1,1,1,1,0
12319,39,1,31693.5,0,0,1,1,0,0,1
12320,35,0,28598.7,1,0,1,1,1,0,0
12321,37,0,26261.7,0,2,1,0,0,0,0
12322,47,1,42124.1,1,2,0,1,1,0,1
12323,42,0,39308.7,1,1,0,1,1,0,1
12324,67,0,43530,1,0,0,1,1,1,0
12325,57,1,49874.4,1,3,0,1,1,0,1
12326,47,0,27434.8,0,0,1,1,1,0,1
12327,67,1,50474.6,1,2,1,1,1,0,1
12328,56,1,24888.2,0,0,0,1,1,0,1
12329,37,1,28021.6,0,0,1,0,1,1,1
12330,27,1,12279.5,0,0,1,0,0,0,1
12331,59,0,30189.4,1,0,1,0,1,1,1
12332,31,1,28969.4,0,1,0,0,1,1,0
12333,31,1,14058.5,1,0,0,0,1,1,1
12334,32,0,30404.3,1,0,1,1,1,0,0
12335,57,0,41438.2,0,3,0,1,0,0,0
12336,49,0,16711.3,0,1,0,1,1,1,1
12337,65,1,52255.9,0,2,1,1,1,0,1
12338,22,0,17866.9,1,2,0,1,1,1,0
12339,26,0,18067.5,1,2,0,1,0,0,0
12340,23,1,12823.7,1,0,1,1,1,0,0
12341,26,0,11299.3,1,2,1,0,0,0,0
12342,59,0,56031.1,0,0,1,1,1,0,1
12343,67,1,35263.5,1,1,1,1,1,0,1
12344,34,0,19968.1,1,0,1,1,1,0,0
12345,50,1,27825.5,1,2,1,1,0,0,0
12346,46,1,37773.9,0,0,1,1,1,1,0
12347,23,0,7606.25,0,3,1,0,0,0,0
12348,26,1,21384.4,1,0,0,0,1,0,0
12349,40,1,20347,1,3,0,1,1,0,0
12350,36,1,21332.3,1,3,1,0,1,0,0
12351,65,1,57671.7,0,0,0,1,1,1,0
12352,45,0,36057.8,1,1,1,1,1,1,1
12353,23,1,14290.5,1,2,0,0,1,1,0
12354,42,0,17882.9,1,1,0,0,0,0,1
12355,21,0,10629.1,0,3,0,1,1,1,0
12356,62,0,24262.8,0,0,1,0,1,0,1
12357,49,0,26097.9,0,2,0,1,1,0,0
12358,28,0,23371,1,2,0,0,1,1,0
12359,38,0,21495.6,0,3,0,0,1,1,0
12360,36,1,12166.9,0,0,0,0,0,0,0
12361,22,1,17180.2,1,0,0,1,1,0,0
12362,40,0,28882.3,1,1,0,1,1,1,1
12363,40,0,21612.2,1,0,0,0,1,0,0
12364,60,0,46358.4,1,0,1,1,1,1,0
12365,23,1,19166,0,0,1,1,0,0,1
12366,21,1,17921.8,1,1,1,0,0,0,1
12367,58,1,33229,0,0,1,1,1,0,1
12368,48,0,30396.1,0,0,0,1,1,0,1
12369,63,0,34625.2,1,0,1,0,1,0,0
12370,20,1,16672.8,0,3,1,0,1,1,0
12371,67,0,60747.5,0,2,0,1,1,1,1
12372,62,0,56394.3,0,0,1,1,1,0,1
12373,36,1,13236.4,1,0,0,1,1,0,0
12374,31,1,28409.4,1,1,1,0,1,0,1
12375,42,0,27056.5,1,0,1,1,1,0,0
12376,18,1,9362.58,1,0,1,0,1,1,1
12377,46,0,28702.7,0,1,0,1,1,1,1
12378,25,1,22366.1,1,1,1,1,1,0,1
12379,65,0,24477.5,0,0,0,1,0,1,0
12380,40,1,36972.4,1,1,0,0,1,1,1
12381,32,1,22327.8,1,1,0,0,0,0,1
12382,18,0,15610.2,1,0,0,1,1,0,0
12383,64,1,54314.5,1,1,1,1,0,0,1
12384,43,0,39175.8,1,3,0,1,1,1,0
12385,22,0,13739,1,3,0,1,1,0,0
12386,25,1,9485.84,1,0,0,0,0,0,0
12387,39,1,24675.7,1,1,1,1,1,1,1
12388,58,0,28253.6,1,3,0,0,1,0,0
12389,33,1,14136.5,1,1,0,1,0,0,0
12390,52,0,37162.1,1,1,1,1,1,0,1
12391,23,1,13519.2,0,0,0,1,1,0,1
12392,44,0,39253.6,0,0,1,1,0,0,1
12393,51,1,46323.8,1,2,1,1,1,1,1
12394,26,0,20950.7,1,0,0,1,1,0,0
12395,42,1,22495.7,1,0,0,1,0,1,0
12396,34,1,32548.9,1,0,1,1,1,1,0
12397,54,0,24583.4,0,2,1,1,1,1,0
12398,18,1,8639.24,1,2,0,0,0,0,0
12399,47,0,17139.5,0,2,1,0,1,0,0
12400,24,0,13667.7,1,0,0,1,1,0,0
12401,19,0,8162.42,1,1,1,1,1,1,0
12402,37,0,15349.6,1,0,0,1,0,0,0
12403,45,0,29231.4,1,0,0,1,0,0,0
12404,49,1,41462.3,1,3,0,1,1,1,0
12405,67,0,57398.1,0,3,0,1,1,0,1
12406,35,0,11520.8,1,0,0,0,1,0,0
12407,63,1,52117.3,0,2,1,1,1,0,1
12408,38,1,26281.4,0,0,1,1,1,0,1
12409,48,1,25683.4,0,2,1,1,1,0,0
12410,28,0,11920.7,0,1,0,1,1,0,0
12411,46,1,30658.7,1,0,0,1,1,0,0
12412,66,1,36646.4,0,1,0,1,1,0,1
12413,61,0,30760.4,0,2,1,0,1,0,1
12414,18,0,16109.9,0,2,1,1,1,0,0
12415,54,0,18036.7,1,0,1,1,0,0,0
12416,45,1,42628.3,0,0,1,1,1,1,0
12417,60,1,22110.1,0,2,1,1,1,0,0
12418,45,0,37689.1,0,1,0,1,1,1,1
12419,31,0,23171.8,0,2,0,1,0,0,0
12420,39,1,21951.3,0,0,1,1,1,1,0
12421,53,1,38103.4,0,2,1,1,1,0,1
12422,35,1,22882.9,1,0,1,0,0,1,1
12423,25,0,11043.7,1,1,1,1,0,1,0
12424,32,1,24027.6,0,0,0,1,1,0,1
12425,36,1,28495.1,1,0,0,1,1,0,0
12426,24,0,9465.21,0,0,0,0,1,0,1
12427,39,1,34852.3,1,1,0,1,0,1,1
12428,24,1,21268.4,1,0,0,0,1,1,1
12429,57,0,50849.2,0,1,0,1,0,1,1
12430,27,0,18555.9,1,3,0,0,1,0,0
12431,66,0,52769.9,1,3,1,1,1,0,1
12432,18,0,11601.4,1,2,0,1,1,1,0
12433,33,0,29541.7,1,0,0,1,0,0,0
12434,48,1,17861,1,2,0,1,1,0,0
12435,23,0,21042,1,1,0,0,1,0,1
12436,44,1,26688.1,1,1,0,1,0,1,1
12437,39,1,26900.6,1,2,0,0,0,1,0
12438,65,1,38080.9,1,1,1,1,0,1,0
12439,60,1,37554.1,1,2,1,1,1,1,1
12440,20,1,18184.6,1,0,0,0,1,1,1
12441,45,0,28864.9,1,0,0,1,1,0,0
12442,66,1,48346.1,1,1,1,1,0,0,1
12443,64,1,53104.3,1,0,1,1,1,0,0
12444,51,0,19416.8,1,0,0,1,1,0,0
12445,34,1,23638.1,1,2,1,1,1,0,0
12446,65,0,42378.2,1,1,0,1,1,0,1
12447,50,1,39745.3,1,0,1,1,0,1,0
12448,66,0,45189.8,1,0,0,1,0,0,0
12449,63,1,37930.9,1,0,0,1,0,1,0
12450,53,0,24042,0,1,0,0,1,0,1
12451,33,0,31207.1,0,0,1,0,1,1,1
12452,38,1,24424.3,1,0,0,1,1,1,0
12453,56,0,24607.8,0,1,0,1,1,1,0
12454,48,1,43057,0,1,1,1,1,0,1
12455,49,0,30198.5,1,0,1,0,1,1,1
12456,54,0,50186.1,1,2,0,1,1,1,1
12457,41,0,22916.1,1,0,0,0,1,0,0
12458,19,1,9592.73,0,0,0,1,1,0,1
12459,52,0,34253.6,0,3,1,0,1,0,0
12460,52,0,22792.3,1,1,1,1,0,0,1
12461,64,0,51620.8,0,2,1,1,1,0,1
12462,56,1,19918.9,1,3,0,1,1,1,0
12463,56,1,29625.1,1,2,0,0,1,0,0
12464,19,0,12549,1,0,0,1,1,0,0
12465,56,0,51299.3,1,1,1,1,0,0,1
12466,27,1,17364.8,1,2,1,1,0,0,1
12467,59,0,29866.9,0,1,1,0,1,0,1
12468,56,1,47750.2,1,0,1,1,1,1,0
12469,21,1,11281.5,1,0,0,1,1,1,0
12470,64,1,34073.8,1,3,0,1,0,1,0
12471,62,1,46870.4,1,0,0,1,1,0,0
12472,44,0,38453.7,0,2,0,1,1,0,1
12473,24,0,7756.36,0,0,0,0,0,0,1
12474,52,0,28413.8,1,0,0,0,1,0,0
12475,67,0,47198.6,1,2,0,1,1,0,1
12476,41,1,20866.3,1,0,1,1,1,0,0
12477,58,0,33204.3,0,1,0,0,0,1,1
12478,40,1,24823.5,0,2,0,0,1,0,0
12479,19,1,17986.8,1,0,0,0,1,1,1
12480,20,0,9909.82,1,3,0,0,1,0,0
12481,56,0,26542.8,0,0,1,1,1,0,1
12482,46,0,32583.5,1,2,1,1,1,0,0
12483,30,1,14606.6,1,1,0,0,1,0,0
12484,40,0,34836.8,1,1,1,1,1,0,1
12485,36,0,26920.8,1,0,0,0,1,0,0
12486,57,0,38248.3,0,3,1,0,1,1,0
12487,49,1,15689.1,0,0,0,0,1,0,0
12488,61,1,30157.7,0,1,1,0,0,0,1
12489,29,1,14642.2,0,0,1,0,1,0,1
12490,48,0,15933.3,1,0,0,1,0,0,0
12491,56,0,44288.3,1,0,0,1,1,0,0
12492,40,1,22197.1,0,0,1,0,1,0,1
12493,58,0,38248.3,1,3,1,1,0,0,0
12494,60,0,22053.2,1,2,1,1,0,1,0
12495,58,0,25468.5,0,0,1,0,0,1,1
12496,67,0,23485.9,1,3,1,0,0,1,0
12497,40,1,25768.6,1,0,1,1,0,0,0
12498,48,1,34182.2,1,2,0,1,1,0,1
12499,64,0,57444.5,0,1,0,1,1,0,1
12500,43,1,38059.8,1,0,1,1,0,1,0
12501,34,0,19481.3,0,0,0,0,1,1,1
12502,26,1,19563.8,0,3,1,0,0,1,0
12503,48,1,38598.4,1,0,1,0,1,0,0
12504,35,1,20754.3,0,0,0,0,0,1,1
12505,24,0,13864.6,1,3,0,1,1,0,1
12506,47,1,36599,1,3,1,1,1,0,1
12507,52,1,45856.1,0,1,0,1,1,0,1
12508,31,1,22362.3,0,0,0,1,1,0,1
12509,41,0,21984,1,1,1,0,0,0,1
12510,23,1,11073,1,2,0,1,0,0,0
12511,27,0,18158.5,0,1,1,0,1,1,1
12512,22,1,7304.2,0,0,1,1,1,1,0
12513,67,0,58092,0,2,1,1,1,0,1
12514,26,0,16518.6,1,0,1,0,1,0,1
12515,58,0,46461.5,1,0,0,1,1,0,0
12516,27,1,20058.7,1,0,0,1,1,1,0
12517,36,1,12533.2,0,1,0,1,0,1,0
12518,31,1,22848.5,1,1,1,0,0,0,1
12519,28,0,25699.4,1,2,1,1,0,0,1
12520,57,1,21612.6,1,0,0,1,1,1,0
12521,64,1,48950.9,1,0,1,1,1,1,0
12522,49,1,41438,0,1,0,1,0,0,1
12523,22,1,11411,1,1,1,0,1,0,0
12524,58,0,43940.6,1,0,1,1,1,0,0
12525,20,1,17239.5,0,1,1,0,1,0,1
12526,44,0,30488.7,1,0,0,1,1,0,0
12527,65,0,29866.3,1,3,0,1,0,0,0
12528,53,0,32184.4,1,2,1,0,0,0,1
12529,34,0,17308.7,1,1,1,0,1,1,1
12530,35,1,27863.9,0,2,0,1,1,1,0
12531,48,1,28920.6,1,0,0,1,0,1,0
12532,64,0,58367.3,1,1,1,1,1,0,1
12533,46,1,16849.3,0,0,1,1,1,1,0
12534,42,0,28138.5,1,0,0,0,1,1,1
12535,47,1,23038.2,1,0,1,1,0,0,0
12536,23,1,11736.9,0,2,1,1,1,1,0
12537,35,1,16479.5,1,0,1,0,0,1,1
12538,64,0,31415.7,0,1,1,1,0,1,1
12539,18,0,12117.3,1,1,0,0,1,0,0
12540,19,1,15417.1,1,1,1,0,1,0,0
12541,40,1,29414.6,1,1,0,1,0,1,1
12542,47,1,44682.1,1,0,1,1,1,0,0
12543,43,0,36281,1,0,1,1,1,0,0
12544,38,1,33302.8,0,0,1,0,1,1,1
12545,21,0,15797.1,1,0,0,1,1,0,1
12546,40,1,31864.8,1,0,1,1,1,0,0
12547,52,0,43719.5,1,0,0,1,1,0,0
12548,35,0,30799.5,1,2,0,0,1,0,1
12549,53,1,48971.6,1,3,1,1,0,0,1
12550,38,0,34061.4,0,0,1,1,1,0,1
12551,42,1,28938.6,1,3,1,0,0,0,0
12552,43,1,38540,0,0,1,1,0,1,0
12553,59,0,27045.1,0,0,0,0,1,0,1
12554,59,0,51284.3,0,0,1,1,1,1,0
12555,24,1,16352.2,0,0,0,1,1,1,0
12556,27,0,11866.4,1,0,1,1,1,0,0
12557,32,0,13267.6,1,0,1,1,1,1,0
12558,65,0,61554.6,1,0,0,1,1,0,0
12559,18,1,13700.2,0,1,0,1,1,0,0
12560,66,1,46963.9,1,1,0,1,1,0,1
12561,41,1,23475.6,1,0,1,0,1,1,1
12562,64,0,24554.1,1,0,1,1,0,1,0
12563,23,0,18050,1,0,1,0,1,1,1
12564,29,0,15237.6,1,2,1,0,1,0,0
12565,28,1,20555,0,0,1,1,1,0,1
12566,57,0,28421.7,1,2,1,1,1,1,0
12567,38,1,21876.5,1,0,0,0,1,0,0
12568,34,0,12810.2,0,3,0,1,1,0,1
12569,43,1,15109.4,1,0,0,0,1,0,1
12570,63,1,37414.7,0,3,1,1,1,0,0
12571,62,0,41521.6,1,0,0,1,1,1,0
12572,51,0,25372.8,1,0,1,1,1,0,0
12573,61,1,21139.8,1,2,1,1,0,0,0
12574,41,0,27757.6,0,0,0,1,1,0,1
12575,31,0,22678.1,0,1,1,1,1,1,1
12576,33,0,12178.5,1,2,0,1,1,1,0
12577,43,1,26106.7,0,1,0,0,1,0,1
12578,40,1,27417.6,1,0,0,1,1,1,0
12579,47,1,23337.2,1,2,0,1,1,1,0
12580,46,1,43395.5,0,1,1,1,1,0,1
12581,30,1,11536.2,1,2,0,0,1,1,0
12582,47,1,44658.6,0,2,1,1,1,0,1
12583,44,1,32762.5,0,0,0,1,1,1,0
12584,23,1,16403.8,1,0,1,1,0,0,0
12585,28,0,21184.7,1,1,1,1,1,0,1
12586,64,0,49917.3,1,0,1,1,1,1,0
12587,35,0,21623.8,1,0,0,1,0,1,0
12588,19,1,16625.9,1,1,0,0,1,0,1
12589,27,0,14014.5,1,3,0,1,0,0,0
12590,27,1,20409.3,1,2,0,1,0,0,1
12591,58,0,31671.3,1,1,1,1,0,1,1
12592,46,0,17149.2,0,1,1,1,1,0,1
12593,61,0,27756.3,1,0,1,1,0,1,1
12594,59,1,40949.9,0,0,0,1,1,0,1
12595,47,0,43743.2,1,3,0,1,1,0,0
12596,44,1,38459.9,1,0,0,0,0,1,1
12597,50,1,40972.9,0,2,1,1,1,1,1
12598,64,1,46587.9,0,0,0,1,1,0,1
12599,51,0,43799.6,0,0,0,1,1,1,0
12600,46,0,18912.2,1,0,1,0,1,0,1
12601,39,0,27765.8,1,3,1,1,0,0,0
12602,58,0,33007.3,0,1,1,0,1,0,1
12603,32,0,26325.3,1,0,1,0,0,0,0
12604,22,0,15308.2,0,0,1,1,1,1,0
12605,63,0,59805.6,1,1,1,1,1,0,1
12606,35,0,28658.3,1,0,1,1,1,0,0
12607,59,0,23175,1,0,0,0,0,1,1
12608,22,0,11595.4,0,0,1,1,1,0,1
12609,60,1,50409.9,0,2,0,1,1,1,1
12610,23,0,11215.3,1,2,1,1,1,0,1
12611,29,0,13327.8,1,0,0,1,0,0,0
12612,44,1,16088.8,1,3,0,1,1,0,0
12613,63,0,43943,1,0,1,1,1,1,0
12614,25,0,14505.3,0,3,0,1,1,0,0
12615,37,1,33886.4,0,0,1,1,0,0,1
12616,48,0,16662.5,1,1,0,1,1,0,1
12617,35,0,20262.6,0,0,0,1,0,0,1
12618,51,1,33615.4,1,1,0,1,0,1,1
12619,27,0,22007.1,0,3,0,0,1,0,0
12620,56,0,28981.1,1,3,1,1,1,1,0
12621,38,0,12163.9,1,2,1,0,1,0,1
12622,36,0,17247.7,1,2,1,1,1,0,0
12623,27,1,12683.6,0,3,0,1,1,1,0
12624,34,0,16291,1,0,1,1,0,1,0
12625,44,1,18707.3,1,0,1,1,1,1,1
12626,43,0,19326.9,1,1,0,0,1,0,1
12627,32,1,14511.8,0,2,0,1,0,1,0
12628,21,0,10672,0,1,0,1,1,1,0
12629,30,0,25830.5,1,2,0,0,1,0,0
12630,55,1,43499.5,1,1,1,1,1,0,0
12631,64,1,59175.1,1,1,0,1,1,0,1
12632,36,0,27642.9,0,1,1,0,0,0,1
12633,59,1,30067.5,0,1,0,1,1,0,1
12634,60,1,29714.4,1,0,1,0,1,1,1
12635,27,0,13950.4,0,1,1,1,1,1,0
12636,29,1,10072.6,1,0,0,0,1,0,0
12637,53,0,37850.6,0,1,0,1,1,0,1
12638,61,0,57176.4,0,2,0,1,1,0,1
12639,43,0,38784,1,0,0,1,1,0,0
