BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY
195.61275,0,0,0,0.333333
2.892853,52.68,52.68,0.166667,0
49.519627,210,0,0.083333,0.083333
64.152423,487,0,0.666667,0
324.334482,0,0,0,0.333333
413.331088,0,0,0,0.777778
24.660951,0,0,0,0.090909
189.463475,0,0,0,0.166667
44.350816,1144.35,66.9,0.416667,0
341.982418,573.2,345.1,0.6,0.2
191.450711,1641.07,0,0.666667,0.083333
115.310676,1316.06,204.66,0.818182,0
183.28584,23.75,0,0.083333,0.083333
275.02095,1943,0,0.6,0
25.615441,146.5,0,0.416667,0
85.900738,0,0,0,0.25
379.619245,0,0,0,0.142857
364.726077,0,0,0,0.4
435.696854,0,0,0,0.285714
281.877648,0,0,0,0.111111
67.515739,640.48,0,0.75,0
4.107485,52.5,52.5,0.166667,0
25.25977,366.66,366.66,0.166667,0
218.890208,0,0,0,0.3
221.810125,0,0,0,0.166667
293.351517,0,0,0,0.083333
137.507638,0,0,0,0.083333
218.004416,0,0,0,0.083333
138.489138,1455.68,217.76,1,0
154.416929,483.27,0,0.416667,0.166667
50.302615,0,0,0,0.166667
464.578589,0,0,0,0.583333
471.104779,0,0,0,0.25
478.530825,0,0,0,0.25
348.321822,0,0,0,0.181818
342.76107,20,0,0.083333,0.25
405.234722,916.04,0,0.416667,0
386.6865,0,0,0,0.333333
331.070135,81.2,0,0.125,0.25
425.848048,0,0,0,0.666667
202.681879,312.5,0,0.166667,0.166667
445.179998,0,0,0,0.25
160.347859,0,0,0,0.083333
411.062591,0,0,0,0.333333
435.518068,27.22,0,0.083333,0
444.841702,218.59,0,0.083333,0
459.812734,0,0,0,0.1
444.630038,0,0,0,0.25
477.258038,49,0,0.083333,0
471.274037,49.85,0,0.083333,0.083333
269.911748,1348.44,89,1,0.25
361.725724,0,0,0,0.083333
347.577293,26.8,0,0.142857,0.428571
463.59969,811.11,0,0.5,0.166667
341.149186,48.78,0,0.083333,0
383.449462,1159.06,13,0.75,0
482.671967,0,0,0,0.083333
435.490797,0,0,0,0.083333
468.256151,55,0,0.083333,0.083333
232.140345,552.66,476.66,1,0.083333
462.340941,125,125,0.416667,0
414.631529,0,0,0,0.583333
383.881717,274.01,274.01,0.916667,0.166667
402.814647,960.09,868.29,1,0.083333
358.792227,397.8,53,0.5,0.5
459.134859,223.34,223.34,0.666667,0
477.847191,1006,63.88,0.833333,0
162.293507,0,0,0,0.25
392.896462,450,0,0.818182,0.272727
379.288635,550,500,0.571429,0.142857
539.072205,240.51,111.87,1,0
70.954998,616.67,616.67,0.583333,0
540.157857,181.5,181.5,0.833333,0
497.919885,1186.09,789.09,0.916667,0.333333
218.35043,54.25,54.25,0.333333,0
180.238427,2749.92,2749.92,1,0
16.657046,186.32,121.32,0.166667,0
85.851188,0,0,0,0.083333
66.0478,674.67,0,0.416667,0
528.095171,868.74,191,0.9,0
383.370294,326.74,0,0.25,0
367.033521,567.75,0,0.666667,0
398.726283,393.49,0,0.166667,0.25
147.838347,0,0,0,0.083333
556.857438,21.9,0,0.166667,0
468.851415,0,0,0,0.083333
492.040223,17,0,0.083333,0.333333
564.325877,0,0,0,0.083333
450.746858,194.1,0,0.166667,0.333333
572.838755,442.23,102.59,1,0
483.261458,3228.3,0,0.416667,0
508.164075,57,0,0.166667,0.583333
581.583282,124.65,0,0.166667,0
535.278586,704.72,343.82,1,0
611.327959,518.88,518.88,1,0
645.515371,756,0,1,0
193.103834,246.56,0,0.25,0
242.53001,3520,3520,0.916667,0
2.463995,165.8,165.8,0.333333,0
61.115414,239.71,239.71,0.454545,0
306.462394,1834.5,0,0.666667,0.083333
221.29129,1429.54,775.72,0.916667,0
209.506832,0,0,0,0.25
353.895121,2073.54,0,0.75,0.25
275.240429,0,0,0,0.25
477.45278,71.48,0,0.083333,0
613.259699,0,0,0,0.083333
488.623392,0,0,0,0.166667
489.488586,215,145,0.333333,0.416667
631.959341,0,0,0,0.083333
685.063917,0,0,0,0.25
559.750373,622.44,222.44,0.75,0
470.353862,105,0,0.166667,0.166667
687.378139,74.42,74.42,0.25,0
677.077167,119.19,119.19,0.416667,0.083333
666.247487,511.34,408.34,0.833333,0.166667
214.436679,1986.7,1986.7,0.5,0
665.285049,0,0,0,0.083333
117.439961,0,0,0,0.083333
601.369472,35.8,0,0.083333,0
83.442168,0,0,0,0.083333
743.52828,158.95,0,0.375,0
145.722404,529.7,289.5,1,0.083333
300.11949,2811.86,805.06,1,0
191.314058,860.95,0,0.583333,0
559.730777,0,0,0,0.083333
440.161534,365,249,0.25,0
467.439275,0,0,0,0.333333
600.450838,351.88,247.1,0.666667,0.583333
674.838072,56.42,0,0.166667,0.583333
411.27629,1524.65,371.13,1,0
856.619236,0,0,0,0.1
92.261256,666.68,666.68,0.333333,0
892.102792,0,0,0,0.416667
826.688625,19.88,0,0.083333,0.333333
904.395249,158,68,0.333333,0
720.995394,547.46,90,0.909091,0.363636
705.232653,1902.4,232.6,1,0
874.583247,516.54,357.47,1,0
5.626795,374.4,374.4,1,0
0.074724,0,0,0,0.083333
5.109352,0,0,0,0.083333
12.108421,0,0,0,0.166667
30.709172,693.42,693.42,0.714286,0
0.546067,228,228,1,0
46.86925,420,420,1,0
15.449607,574.75,574.75,1,0
6.603005,429,429,0.7,0
0,278,278,0.666667,0
0.648074,258,258,1,0
16.341186,207.54,207.54,1,0
13.141343,850.44,700.44,1,0
5.170635,367.95,367.95,0.916667,0
4.843351,368.28,368.28,1,0
4.822037,58.32,58.32,0.833333,0
10.400883,533.98,240,0.5,0
11.115883,216.36,216.36,1,0
4.602365,38.42,38.42,0.166667,0
41.624195,102,0,0.166667,0
26.143768,0,0,0,0.090909
72.575706,0,0,0,0.083333
11.294184,155,155,0.666667,0
28.493517,291.12,291.12,1,0
107.536958,555,555,1,0
10.05473,530,530,0.916667,0
12.090835,0,0,0,0.083333
8.849404,220.99,220.99,0.916667,0
11.188595,159.84,159.84,0.5,0
80.198389,981.75,522.75,0.583333,0
18.898762,212.5,212.5,0.333333,0
6.260598,35,0,0.083333,0.083333
16.176672,95.55,95.55,0.25,0
163.001629,0,0,0,0.166667
58.565355,386,386,0.666667,0
12.478094,217.91,217.91,0.875,0
13.363762,238.9,238.9,0.857143,0
70.976464,0,0,0,0.166667
2.907271,53,0,0.1,0
62.320028,500,500,1,0
30.287602,0,0,0,0.416667
10.665069,85.89,85.89,1,0
10.035492,0,0,0,0.083333
205.421413,1174.98,1174.98,1,0
28.838076,484.68,484.68,1,0
11.442399,82,82,0.5,0
32.669762,340,340,0.571429,0
18.908241,126,0,0.090909,0
101.564003,418.59,418.59,0.833333,0
110.428278,624.72,624.72,1,0
68.226894,388.5,388.5,0.714286,0
97.707192,634.55,634.55,0.833333,0
686.623746,422.21,273.21,1,0.166667
23.398673,144.4,144.4,0.833333,0
6.747965,277.44,277.44,1,0
130.838554,591.24,591.24,1,0
52.666422,150.3,150.3,1,0
82.470475,282.75,282.75,0.25,0
65.45872,570.96,570.96,1,0
5.902257,246.25,246.25,0.5,0
381.341657,78,78,1,0.666667
114.593817,469.98,469.98,1,0
22.35378,284.5,0,0.083333,0
55.176498,283.02,283.02,1,0
40.829749,113.28,113.28,1,0
91.639086,315.2,167.4,1,0
39.552396,180,180,1,0
108.977282,712.5,712.5,1,0
6.526735,53.09,0,0.083333,0
17.832206,153.6,153.6,0.416667,0
92.859389,468.96,498.96,1,0
294.720216,1880,1880,1,0
460.081479,649.5,649.5,0.833333,0.666667
29.040058,289.63,289.63,1,0
89.165814,724,724,0.833333,0
33.535261,319.98,319.98,1,0
13.036611,197,197,0.5,0
9.298409,107.6,107.6,0.909091,0
229.540018,84,84,1,0.333333
16.428326,441.5,316.8,1,0
10.920026,95.6,95.6,1,0
134.42288,80.7,80.7,0.428571,0.285714
15.330559,144.64,144.64,0.666667,0
17.657534,180.25,180.25,1,0
85.936062,492.03,492.03,1,0
207.561471,60,60,0.833333,0.166667
7.20735,152.02,152.02,0.583333,0
8.905649,112.29,112.29,0.166667,0
299.82542,480,350,1,0.428571
204.440114,384.81,215.81,1,0
99.912238,730.2,565.2,1,0
169.820745,1578.12,1443.12,1,0
44.904048,167.37,167.37,1,0
21.357267,212.87,212.87,1,0
43.960637,580.65,580.65,1,0
376.547421,520,240,0.857143,0.714286
9.730297,99.24,99.24,0.583333,0
20.700474,94.98,94.98,0.857143,0
17.206623,109,109,0.5,0
197.159684,0,0,0,0.25
68.624743,423.23,180,1,0
39.477741,325.66,0,0.333333,0
75.520764,210.48,210.48,1,0
20.890606,110,110,1,0
77.684147,431.28,431.28,1,0
5.116471,50.2,0,0.166667,0
356.108694,465,0,0.142857,0
55.147722,163.31,163.31,0.875,0
51.46642,0,0,0,0.083333
130.041299,581.28,581.28,1,0.125
728.352548,734.4,0,0.333333,0.166667
28.588826,151.92,151.92,1,0
3.391066,72.44,72.44,0.333333,0
5.529633,45,45,0.166667,0
173.658581,1210,1210,1,0
16.34663,267.06,242.06,0.5,0
8.415931,136.36,136.36,0.333333,0
60.52124,469,469,0.6,0
19.303914,168.9,168.9,0.333333,0
26.96054,157.45,157.45,0.416667,0
100.427621,793.28,793.28,1,0
24.818476,390.05,345.15,0.833333,0
121.385695,341.96,54.96,1,0
45.425151,360,360,1,0
17.896575,265.97,265.97,1,0
9.996627,87.94,87.94,0.416667,0
77.097563,233.62,208,0.666667,0.25
112.037368,1006.69,1006.69,1,0
89.22671,930,930,0.6,0
137.744895,441,441,0.75,0
165.290723,971.2,0,0.166667,0.083333
102.011668,799,799,0.444444,0
94.307698,343.99,343.99,1,0
16.023788,207.28,207.28,1,0
8.820603,124,124,0.545455,0
33.725413,388.44,388.44,1,0
191.37693,510,780,0.555556,0
34.869037,356.32,356.32,1,0
2.850024,114.56,114.56,0.25,0
32.229139,145.85,145.85,0.583333,0
19.112841,504.2,504.2,1,0
19.946102,450,450,1,0
61.15435,791.67,577.67,1,0.083333
119.604008,1068.28,1068.28,1,0
35.966227,216.12,216.12,1,0
17.448626,135,135,1,0
87.704546,352.83,352.83,1,0
100.123394,320,320,1,0
28.80071,173.02,173.02,0.5,0
49.032869,360.96,360.96,1,0
124.285688,662.4,553.69,1,0
18.527285,274.92,274.92,1,0
32.182264,208.61,208.61,1,0
25.679113,379,379,0.9,0
61.657184,338.4,338.4,1,0
83.564804,616,616,1,0
189.499535,1802.93,989.38,0.916667,0.166667
227.220411,1387.6,1099.06,1,0.125
151.467852,1554.52,325.5,0.75,0.125
6.484008,61.71,61.71,0.25,0
13.962944,136.92,136.92,1,0
14.665071,108.85,0,0.333333,0
24.680177,265,265,0.818182,0
38.475299,61.8,61.8,0.333333,0
87.802127,803.95,0,0.5,0
185.396312,0,0,0,0.363636
367.263145,280,280,1,0.142857
440.613643,600,0,0.125,0
57.657781,587.25,587.25,0.75,0
236.996845,0,0,0,0.666667
40.900749,95.4,95.4,0.166667,0
101.98974,1046.04,0,0.916667,0
70.162707,599,599,0.5,0
18.180646,220.06,220.06,1,0
67.869072,502.52,502.52,0.333333,0
272.624436,1843,1373,0.666667,0
10.286805,60,60,0.25,0
560.414016,99,0,0.083333,0.25
32.944835,185.8,185.8,1,0
605.203304,1279.5,736.5,1,0.25
31.560931,300,300,0.5,0
7.581335,94.12,94.12,0.333333,0
100.037595,414.48,414.48,1,0
28.277795,394.8,350,1,0
63.325286,246.64,246.64,1,0
241.384531,335,236,0.416667,0
298.651615,0,0,0,0.111111
59.101573,786,786,1,0
202.326177,1800,1800,0.888889,0
21.968945,335,335,0.416667,0
20.620429,169.66,169.66,0.75,0
15.577506,143.76,143.76,1,0
78.821949,1333.75,369.03,1,0
75.9863,986,986,1,0
41.414562,440,440,0.916667,0
120.945829,33.38,33.38,0.2,0
88.633107,450,450,1,0
93.972736,562.5,562.5,0.909091,0
71.160989,317.1,317.1,1,0
31.870622,125.06,125.06,0.5,0
61.588389,250,211,0.666667,0
347.226798,1535.49,331.8,0.9,0
293.125181,2812.69,300,0.75,0
81.088359,554.7,238.7,0.916667,0
17.413459,264.8,264.8,0.833333,0
461.45572,585,0,0.125,0
276.93292,0,0,0,0.083333
46.804861,443.3,443.3,1,0
179.882212,828,828,1,0
28.244252,320,320,0.5,0
34.195309,211.56,211.56,1,0
13.44199,56.51,56.51,0.25,0
130.678469,1480.76,0,0.333333,0
47.336863,464.95,330.05,0.75,0
6.96194,80.43,80.43,0.272727,0
121.446047,1254.46,344,0.583333,0
59.714532,305.84,305.84,0.833333,0
42.522715,479.5,479.5,0.833333,0
145.379392,0,0,0,0.166667
48.487138,261.81,261.81,0.666667,0
59.32524,527.63,527.63,1,0
31.050921,446.05,446.05,1,0
35.550618,458.15,458.15,1,0
19.296018,210,210,1,0
49.789963,700,700,1,0
20.996733,295.92,295.92,1,0
11.981427,187.55,187.55,0.75,0
40.661132,235.3,235.3,0.833333,0
100.403989,790,790,1,0
133.099445,1170,1170,1,0
14.453345,38.65,0,0.083333,0
53.339006,315.48,315.48,1,0
72.425884,655.68,655.68,1,0
53.284869,571.32,571.32,1,0
215.295527,599.03,339.03,1,0
131.271213,147.26,147.26,0.333333,0
92.887247,1258.5,1258.5,1,0
333.085021,980,0,0.083333,0
22.455964,185.25,185.25,0.25,0
468.022403,488.93,252.8,0.833333,0.25
114.297852,994.54,745,0.833333,0
79.861604,427.36,427.36,0.833333,0
125.694817,233.28,233.28,1,0
100.477642,1560,1560,1,0
114.295749,109.8,109.8,0.75,0
50.82451,456,456,1,0
691.466157,549.96,549.96,1,0
161.198861,536.68,433.68,1,0
219.709329,586.64,586.64,1,0
31.296491,84,84,1,0
109.009133,749.18,749.18,0.833333,0
28.178604,208.6,208.6,0.833333,0
83.030075,2298.89,1731.34,0.916667,0
125.793836,630,630,1,0
36.174755,315,315,1,0
67.377243,295,295,0.5,0
99.040178,1100,1100,0.833333,0
34.223151,108,108,1,0
22.493402,291.28,144.99,0.25,0
87.189044,744.62,277.6,0.833333,0.083333
150.351174,1039.92,1039.92,1,0
107.271213,726.42,726.42,0.833333,0
86.661044,709.98,709.98,1,0
45.069167,218.28,218.28,1,0
169.062888,1556.66,1347.33,0.916667,0
74.755978,553.7,305,0.583333,0
139.396168,290,0,0.083333,0.333333
133.999971,1485,1485,1,0
56.215217,402.13,402.13,1,0
248.740266,1846.81,1128.85,1,0
53.918649,293.4,293.4,1,0
43.561434,391.32,391.32,1,0
229.752417,82.28,82.28,0.333333,0
22.061664,208.8,208.8,1,0
127.895284,1085.16,950.26,1,0
202.08047,190.96,190.96,0.25,0
666.010085,504.87,0,0.166667,0.083333
56.68168,827.2,827.2,1,0
294.280019,19.9,0,0.083333,0.166667
170.33501,586.95,515.43,1,0
60.816514,900,900,0.75,0
673.982097,110,110,0.166667,0
377.56851,542.51,0,0.5,0
413.936244,187.5,187.5,0.6,0
35.38985,285.24,285.24,1,0
863.130387,37.3,0,0.166667,0
113.563652,729.6,729.6,1,0
348.965773,1019.4,575,1,0
220.943665,1833.34,1833.34,0.916667,0
25.840196,277.56,277.56,1,0
211.1622,0,0,0,0.166667
64.227433,419.4,419.4,0.75,0
144.006679,45.65,0,0.083333,0
142.637508,1650,1650,0.916667,0
48.822128,537.51,537.51,1,0
81.364936,710.16,710.16,1,0
71.98176,459.49,459.49,1,0
84.033173,1099,1099,1,0
12.642164,175.56,175.56,0.25,0
307.127754,909.3,500,0.583333,0.166667
115.61103,379.32,379.32,1,0
32.369733,326.45,250.45,0.916667,0
44.935526,401.06,401.06,0.916667,0
72.518075,525,525,1,0
750.070967,311.2,0,0.166667,0
992.424289,0,0,0,0.111111
50.445122,685.32,685.32,1,0
484.108869,0,0,0,0.5
939.989584,0,0,0,0.083333
201.3504,600,600,0.5,0
393.700868,0,0,0,0.166667
65.915182,840,840,0.666667,0
241.001768,1888.88,888.88,0.875,0
39.061878,297.02,297.02,0.916667,0
396.376998,286.74,234.25,0.75,0
219.749851,1208.38,1208.38,0.833333,0
252.174753,411.01,0,0.833333,0
30.88047,316.6,119.6,0.166667,0
58.281306,0,0,0,0.083333
182.171771,270.65,225,0.833333,0
287.565501,472.32,97.32,0.333333,0.416667
33.663794,585.6,585.6,1,0
92.816307,345.66,300.01,0.75,0
404.316166,176,176,0.416667,0
161.754889,309,309,0.25,0
874.905296,484.04,484.04,1,0
109.621031,1060.5,1060.5,1,0
347.928329,832.37,404.41,1,0
190.096469,561.99,561.99,1,0
279.811953,399.9,399.9,1,0
228.925466,2084.18,0,1,0
59.702526,674.68,674.68,0.583333,0
233.755366,521.23,521.23,1,0
128.558239,720,720,1,0
251.281423,1873.56,1873.56,1,0
905.771358,116.15,80,0.166667,0
315.388131,467.35,427.35,1,0.090909
975.820862,66.72,66.72,0.333333,0
276.213858,449.86,449.86,1,0
805.368458,0,0,0,0.333333
294.381106,828,828,0.6,0
676.221211,125,125,0.454545,0
15.740657,72,0,0.25,0
297.985886,116.18,108.4,0.416667,0
110.400892,486.72,486.72,1,0
308.769481,489.24,489.24,0.75,0.416667
439.357199,862.74,0,0.666667,0.25
182.514528,157.67,157.67,0.916667,0.416667
303.740542,0,0,0,0.083333
114.806604,675,675,0.666667,0
264.261791,175,175,0.416667,0
528.917839,647.69,164.1,0.666667,0
900.482738,0,0,0,0.083333
869.702973,370.74,232.2,0.916667,0.416667
745.342323,49.25,0,0.083333,0
29.466141,149,0,0.083333,0
679.421923,298.49,0,0.083333,0.083333
449.026889,313.2,313.2,1,0
224.795583,240.74,240.74,0.666667,0
387.967458,944.49,944.49,1,0
281.112517,0,0,0,0.166667
26.143505,124.03,0,0.083333,0
497.787017,114.54,0,0.083333,0.166667
246.688528,297.96,297.96,0.916667,0
523.127544,786.94,204.2,0.25,0.25
801.688726,325.92,325.92,1,0
626.359675,2102.13,1010.76,1,0.5
300.427627,443.71,443.71,0.916667,0
268.797746,70,70,0.5,0
35.836652,202.4,202.4,1,0
445.146763,2118.54,1168.35,0.857143,0.285714
910.072514,18.05,18.05,0.083333,0.083333
827.255067,281.97,281.97,0.416667,0
438.4161,673.68,673.68,1,0
288.525281,341.7,0,0.083333,0
51.08934,140.75,140.75,0.416667,0
184.57666,408.36,408.36,1,0
864.975705,66.7,0,0.083333,0.083333
444.021111,0,0,0,0.166667
600.052391,274,274,1,0.5
318.805232,300.39,193.5,1,0.1
949.259857,0,0,0,0.166667
495.16253,0,0,0,0.083333
882.715792,120,120,1,0.25
458.26631,691.82,237.92,0.583333,0.166667
283.691223,45.65,0,0.083333,0
748.264608,808.99,0,0.090909,0.090909
975.252077,1146.74,350,0.857143,0
553.901465,458.76,458.76,1,0
701.345445,70.98,70.98,0.166667,0
715.044288,249.96,249.96,1,0.166667
376.997522,0,0,0,0.166667
425.549034,151.68,151.68,1,0
895.308285,0,0,0,0.166667
27.498033,0,0,0,0.083333
826.344973,108.4,108.4,0.363636,0.090909
584.287125,0,0,0,0.083333
641.02208,0,0,0,0.25
955.588927,0,0,0,0.166667
719.427666,734.4,554.4,0.583333,0
342.361553,258.5,175.02,0.666667,0.083333
504.248851,472.09,472.09,0.916667,0
624.633263,0,0,0,0.25
41.550285,421.6,108.75,0.333333,0
339.039307,345.66,300.01,0.75,0
832.774626,416.76,416.76,0.583333,0
933.05808,0,0,0,0.416667
641.282519,750,0,0.142857,0
793.213204,1011.16,522.17,0.833333,0
958.26975,0,0,0,0.416667
528.463885,0,0,0,0.833333
645.406005,0,0,0,0.333333
668.742738,951.97,287.14,0.666667,0
875.738933,595.86,311.36,0.583333,0.25
983.363407,275.06,275.06,0.5,0
585.537233,178,178,0.333333,0.083333
716.970968,378.35,378.35,1,0.428571
812.317275,404.91,404.91,0.75,0
736.024188,350.02,350.02,0.6,0
827.00042,0,0,0,0.25
691.181508,439.92,439.92,1,0
876.69029,0,0,0,0.166667
915.932014,45.65,0,0.083333,0
857.273285,0,0,0,0.1
385.462843,427.1,377.1,0.9,0.5
735.652303,619.6,363.98,1,0.166667
927.041961,0,0,0,0.333333
465.86405,0,0,0,0.5
657.223335,1151.91,536.06,0.714286,0.285714
876.839962,147.82,147.82,0.25,0.083333
465.003141,500,0,0.111111,0
840.144184,2790.72,633.78,1,0
438.94049,883.64,45.23,0.333333,0.166667
328.436912,2738.82,330,0.583333,0
144.436235,0,0,0,0.083333
850.630114,0.05,0,0.083333,0.333333
868.734126,463.01,89.36,0.416667,0.166667
697.525591,462.38,416.73,0.5,0.083333
365.48242,1618.31,618.31,1,0
928.666372,0,0,0,0.5
882.423211,288.75,18.75,0.166667,0
709.475496,0,0,0,0.25
943.584041,103,0,0.125,0
799.518482,339.96,339.96,1,0.25
542.979227,1134.96,1134.96,1,0.583333
917.732846,18.41,18.41,0.083333,0
793.167009,433.31,233.31,1,0.428571
883.835888,187.47,187.47,0.75,0
834.642993,0,0,0,0.333333
990.45604,0,0,0,0.083333
937.276757,45.65,0,0.083333,0.083333
968.188634,69.44,69.44,0.25,0
903.04158,350,0,0.090909,0
888.406678,347.7,347.7,0.75,0
574.032791,1606.51,1606.51,1,0
949.530268,45.65,0,0.083333,0.083333
525.3186,1604.97,1604.97,0.9,0
992.615052,162.28,162.28,0.5,0
842.103869,496.56,496.56,1,0
410.466315,826,710,0.909091,0.090909
995.323626,127.49,36.79,0.25,0.083333
944.851251,449.49,449.49,1,0
862.276499,174.84,174.84,0.5,0.083333
807.555134,242.06,242.06,0.5,0
786.158276,679.24,579.24,1,0.25
311.987575,684.24,684.24,1,0
947.13081,197.06,48.4,0.333333,0
739.847303,329.25,329.25,0.75,0.166667
777.210275,622.51,622.51,1,0.428571
888.101401,100,100,0.222222,0.111111
945.793928,253.31,0,0.333333,0.083333
981.098292,180,180,1,0
972.958145,100,0,0.083333,0.166667
1009.483517,278.55,278.55,0.75,0
736.724142,421.96,421.96,1,0.272727
955.159037,440.57,394.92,0.666667,0
907.371097,55.65,55.65,0.166667,0
952.419564,283.8,283.8,0.75,0
1012.08968,312.48,312.48,1,0
384.803407,549,258,0.5,0
650.485202,555.2,216.2,0.583333,0.083333
939.348677,50,0,0.083333,0
980.034696,275,275,0.916667,0
796.558943,531.24,531.24,1,0.333333
930.322044,444.96,444.96,1,0
1034.253025,144,144,1,0.083333
536.104848,8591.31,582.81,0.916667,0
1034.332765,0,0,0,0.25
944.346242,195,195,1,0.166667
710.811464,633.87,313.87,0.75,0.25
1033.485033,137.57,137.57,0.166667,0
927.294609,364.74,213.32,0.75,0
971.681565,133.31,133.31,0.583333,0.166667
965.605202,215,0,0.25,0
950.716155,335.62,335.62,0.5,0
938.289723,264.4,264.4,1,0.125
1038.465061,264.8,264.8,0.416667,0
955.184754,498.96,498.96,1,0
1060.630483,330,330,1,0
743.52397,962.78,684.3,1,0.083333
958.920206,66.7,66.7,0.166667,0
994.231031,487.6,487.6,0.75,0.083333
519.444307,525,525,1,0
746.693629,615.2,615.2,1,0
726.323657,231.35,231.35,0.714286,0.142857
1036.242361,365.9,365.9,0.75,0
968.504914,257.71,212.06,0.166667,0
1046.952264,504,504,1,0
967.177679,208.4,208.4,0.333333,0
1004.262002,150,150,0.333333,0
1016.583226,120,120,0.5,0
1035.549686,624,624,1,0
981.10306,240,240,1,0
1007.362008,469.92,469.92,1,0
903.031624,494.7,494.7,0.833333,0.166667
988.405365,637.97,592.32,1,0.083333
957.010021,604.8,604.8,1,0.083333
908.354652,231.35,231.35,1,0.142857
982.566805,282.39,282.39,0.583333,0
1022.687467,409.92,409.92,1,0.25
980.370868,699.33,699.33,1,0
282.873015,484.49,179.49,0.666667,0
1049.109012,200.02,200.02,0.5,0
1008.494418,639.7,639.7,1,0
954.060867,279.76,578.55,0.583333,0.333333
1084.131331,803.22,803.22,1,0.166667
1004.441314,530.32,492.32,0.833333,0
931.907808,1142.12,1142.12,1,0.285714
1043.025044,576,576,1,0.083333
1021.334556,300,300,0.833333,0
1047.854274,384,384,1,0
964.09998,1074.96,1074.96,1,0
1094.632736,503.41,503.41,1,0.833333
1075.185409,398.53,352.88,0.916667,0
1092.570471,624.36,624.36,1,0
267.401555,156.6,156.6,1,0
799.274442,906.81,457.16,0.916667,0.083333
945.802599,540,540,1,0.125
1047.173202,450,450,0.666667,0
1066.830615,509.94,509.94,1,0
777.739839,262.6,262.6,0.75,0
996.48222,675.96,675.96,1,0
1088.936666,724.98,633.05,1,0
863.821682,145.81,145.81,0.583333,0.083333
212.862735,262.24,262.24,1,0
1054.905969,885.44,885.44,0.833333,0
1088.568358,436.8,286.8,1,0
1052.127315,354.48,354.48,1,0
1129.33758,498.96,498.96,1,0.083333
1128.124563,924.6,924.6,1,0
514.17242,45.65,0,0.083333,0
256.433357,206.35,206.35,0.75,0
991.097892,180,180,0.5,0
1070.486185,818.64,818.64,1,0
822.579064,1188.24,1188.24,1,0
1153.335938,886.56,886.56,1,0
1076.586375,2204.54,1326.65,1,0
1023.883008,585.84,585.84,1,0.125
1205.024103,1247.43,1247.43,1,0
271.05166,86,86,0.166667,0
734.337883,55.68,55.68,0.166667,0
772.338967,198.39,198.39,0.636364,0
862.413024,108,108,0.333333,0.333333
1047.182049,1727.64,1727.64,1,0
1040.419338,307.92,307.92,1,0.083333
1276.941373,2196.54,1158.74,1,0
1256.81927,1674.96,1674.96,1,0
1117.34082,474.96,474.96,1,0
1204.102388,1658.81,1613.16,1,0.083333
